Old,New,,,
run,-,,,
Y,Year,,,
C,Country,,,
RRR,Region,,,
AAA,Area,,,
G,Technology,,,
FFF,Fuel,,,
COMMODITY,Commodity,,,
TECH_TYPE,Tech_type,,,
UNITS,Unit,,,
Value,Value,,,
Scenario,Scenario,,,
Market,Market,,,
Sector,Sector,,,
CCS,CCS,,,
Technology final,Tech_type_agg,,,
Final fuel,Fuel_agg,,,
Final fuel 2,Fuel_agg_2,,,
Final commodity,Commodity_extended,,,
Backup,Backup,,,
Final group,Tech_fuel,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
