,BE_VRE-ONS-LW_RG1_50,BE_VRE-ONS-LW_RG2_50,BE_VRE-ONS-LW_RG3_50,DE4-N_VRE-ONS-LW_RG2_50,DE4-N_VRE-ONS-LW_RG3_50,DE4-E_VRE-ONS-LW_RG1_50,DE4-E_VRE-ONS-LW_RG2_50,DE4-E_VRE-ONS-LW_RG3_50,DE4-S_VRE-ONS-LW_RG1_50,DE4-S_VRE-ONS-LW_RG2_50,DE4-S_VRE-ONS-LW_RG3_50,DE4-W_VRE-ONS-LW_RG1_50,DE4-W_VRE-ONS-LW_RG2_50,DE4-W_VRE-ONS-LW_RG3_50,DK1_VRE-ONS-LW_RG3_50,DK2_VRE-ONS-LW_RG3_50,EE_VRE-ONS-LW_RG1_50,EE_VRE-ONS-LW_RG2_50,EE_VRE-ONS-LW_RG3_50,FIN_VRE-ONS-LW_RG1_50,FIN_VRE-ONS-LW_RG2_50,FIN_VRE-ONS-LW_RG3_50,FR_VRE-ONS-LW_RG1_50,FR_VRE-ONS-LW_RG2_50,FR_VRE-ONS-LW_RG3_50,UK_VRE-ONS-LW_RG3_50,LT_VRE-ONS-LW_RG1_50,LT_VRE-ONS-LW_RG2_50,LT_VRE-ONS-LW_RG3_50,LV_VRE-ONS-LW_RG1_50,LV_VRE-ONS-LW_RG2_50,LV_VRE-ONS-LW_RG3_50,NL_VRE-ONS-LW_RG1_50,NL_VRE-ONS-LW_RG2_50,NL_VRE-ONS-LW_RG3_50,NO1_VRE-ONS-LW_RG1_50,NO1_VRE-ONS-LW_RG2_50,NO1_VRE-ONS-LW_RG3_50,NO2_VRE-ONS-LW_RG2_50,NO2_VRE-ONS-LW_RG3_50,NO3_VRE-ONS-LW_RG2_50,NO3_VRE-ONS-LW_RG3_50,NO4_VRE-ONS-LW_RG2_50,NO4_VRE-ONS-LW_RG3_50,NO5_VRE-ONS-LW_RG2_50,NO5_VRE-ONS-LW_RG3_50,PL_VRE-ONS-LW_RG1_50,PL_VRE-ONS-LW_RG2_50,PL_VRE-ONS-LW_RG3_50,SE1_VRE-ONS-LW_RG2_50,SE1_VRE-ONS-LW_RG3_50,SE2_VRE-ONS-LW_RG1_50,SE2_VRE-ONS-LW_RG2_50,SE2_VRE-ONS-LW_RG3_50,SE3_VRE-ONS-LW_RG1_50,SE3_VRE-ONS-LW_RG2_50,SE3_VRE-ONS-LW_RG3_50,SE4_VRE-ONS-LW_RG1_50,SE4_VRE-ONS-LW_RG2_50,SE4_VRE-ONS-LW_RG3_50,Time
263002,8.73778,8.615957,8.392272,9.641272,9.12301,9.737389,9.193116,10.05474,10.7132,11.49829,10.44003,9.592367,8.775469,7.685625,9.313446,9.819301,10.9766,10.74623,9.879302,11.74648,11.05798,10.29324,11.5071,10.39797,10.11565,11.51443,11.4948,10.98297,10.46283,10.53023,10.39267,10.12595,9.365818,8.770247,7.543272,8.096192,7.25737,6.179091,8.748195,8.066165,12.03301,10.50627,14.36047,13.50208,10.39205,9.299546,13.30189,12.08429,11.18697,12.09457,10.86863,10.19636,7.925811,7.432217,7.978498,6.776032,6.613952,5.479381,5.48543,5.240387,02/01/2012 10:00:00
263003,8.107521,8.341276,8.218363,9.419118,8.774601,9.700085,8.938301,8.948187,10.13435,11.12212,10.28717,9.10613,8.420743,7.371943,9.512599,9.881256,10.85284,10.63498,9.741426,11.85657,10.96691,10.31289,11.49907,10.23968,9.861029,11.3513,11.52706,11.21948,10.69152,10.76365,10.63074,10.19525,8.965479,8.216177,7.50087,8.314204,7.307982,6.426734,8.932157,8.210879,11.93221,10.51729,14.26283,13.45891,10.17276,9.174333,12.83861,11.71702,10.95617,11.94573,10.76153,10.03021,7.816907,7.2661,8.153144,6.781138,6.455822,7.621026,6.101099,5.354755,02/01/2012 11:00:00
263004,7.938973,8.232042,8.279982,9.398411,8.431898,9.671843,8.784837,8.213924,9.848512,10.76909,10.22224,8.644568,8.143053,7.21768,9.849286,10.07157,10.95739,10.55758,9.681045,11.87718,10.89341,10.33959,11.62609,10.34562,9.7679,11.43538,11.4781,11.45779,10.89394,10.97725,10.94652,10.39161,9.152775,8.123322,7.847026,8.589949,7.194857,6.417797,9.041191,8.295244,11.674,10.37535,14.14935,13.42399,10.13704,9.017739,12.23284,11.42063,10.82553,11.64102,10.61829,9.658351,7.625788,7.221096,8.288206,6.918145,6.461541,9.102715,6.761002,5.865773,02/01/2012 12:00:00
263005,8.04995,8.237253,8.36821,9.372468,8.042847,9.364836,8.450698,7.702062,9.890557,10.44868,10.06729,8.355027,7.893836,7.10376,10.29215,9.609798,11.21636,10.62796,9.801449,11.80739,10.85615,10.35323,11.63828,10.41936,9.736333,11.73189,11.37364,11.6262,11.12607,11.15335,11.2777,10.82684,9.662857,8.359188,8.46359,8.646804,7.076669,6.308966,9.063366,8.297467,11.35742,10.18409,14.03168,13.35723,10.21327,8.759339,11.69581,11.25305,10.74948,11.31865,10.50315,9.4659,7.567778,7.376433,8.464253,7.189596,6.671299,9.577507,7.511447,6.736166,02/01/2012 13:00:00
263006,8.359587,8.493856,8.578155,9.261158,7.661715,8.916094,8.038308,7.458952,9.884492,10.1114,9.851276,8.339344,7.776251,7.168464,10.52948,8.607734,11.46199,10.8355,10.09763,11.7892,10.85068,10.36493,11.4783,10.41621,9.737067,12.0444,11.2975,11.65938,11.32319,11.27158,11.60361,11.34522,9.915452,8.554981,9.024496,8.431838,7.105349,6.187346,9.096776,8.247271,11.10598,10.07342,14.03069,13.29915,10.33199,8.507831,11.35343,11.1589,10.6313,11.12346,10.42151,9.523514,7.747958,7.561657,8.829991,7.582572,6.98487,9.541405,8.27208,7.655492,02/01/2012 14:00:00
263007,9.010683,9.16253,9.039017,9.316735,7.723931,8.562135,7.820054,7.506865,9.642168,9.790285,9.82631,8.678206,7.94628,7.521297,10.56175,8.22816,11.63331,11.16977,10.55491,11.89802,10.88236,10.39861,11.26858,10.39356,9.754616,12.37967,11.35244,11.521,11.34209,11.39749,11.8242,11.68812,9.931488,8.745661,9.547716,8.140431,7.245257,6.008694,9.207111,8.285289,10.98535,10.04503,14.177,13.29106,10.45893,8.44908,11.10845,11.07499,10.5245,11.06764,10.40106,9.674184,7.963006,7.600097,9.21776,7.922664,7.261336,9.149559,8.674804,8.279339,02/01/2012 15:00:00
263008,9.992468,9.994099,9.650306,9.747796,8.573313,8.495024,7.978378,7.882686,9.445164,9.832139,10.0445,9.302258,8.475165,8.156453,10.57964,8.786739,11.73065,11.65112,11.07414,12.1597,10.95942,10.47778,11.30517,10.43895,9.875759,12.79057,11.60971,11.39349,11.17413,11.4533,11.90283,11.83475,10.0566,9.278913,10.09384,7.872359,7.380892,5.865151,9.383476,8.494579,10.99083,10.00716,14.29614,13.39222,10.69777,8.598947,10.96109,10.92793,10.48946,11.10246,10.41835,9.912004,8.083466,7.539426,9.509472,8.118037,7.396494,8.779574,8.766961,8.495777,02/01/2012 16:00:00
263009,10.92628,10.66273,10.16158,10.3242,9.744261,8.471699,8.408417,8.442047,9.600177,10.16778,10.25838,9.963085,9.143088,8.810172,10.6135,9.561166,11.64322,12.05292,11.53484,12.47156,11.01427,10.53237,11.73215,10.64927,10.04238,13.11768,11.83571,11.33028,10.89095,11.32361,11.85224,11.7528,10.4675,10.02139,10.48063,7.763566,7.466773,5.768896,9.603774,8.712291,10.95248,9.850411,14.42033,13.59726,10.92732,8.874218,10.85871,10.69371,10.48861,11.10515,10.38723,9.999997,8.090919,7.489854,9.630196,8.32181,7.417856,8.879217,8.809145,8.542975,02/01/2012 17:00:00
263010,11.32158,11.0264,10.36915,10.74851,10.59386,8.421614,8.924963,8.968333,10.23047,10.47687,10.28637,10.44813,9.6635,9.329998,10.67871,10.09018,11.34982,12.27825,11.8317,12.69836,11.05607,10.57371,12.30578,10.96192,10.08724,13.25175,11.78197,11.17497,10.6054,11.09007,11.70921,11.55337,11.00798,10.5449,10.64196,7.77908,7.480767,5.671119,9.818786,8.924439,10.8614,9.63338,14.60036,13.76888,11.16095,9.167089,10.64367,10.48115,10.43422,11.00499,10.29259,9.777778,7.96646,7.480515,9.761499,8.575322,7.534461,9.095578,8.929612,8.574553,02/01/2012 18:00:00
263011,11.21058,11.14497,10.4855,11.133,10.86943,8.749442,9.393264,9.397704,10.89485,10.62535,10.19422,10.7804,10.09508,9.689285,10.82829,10.40974,10.84246,12.33342,11.81084,12.87333,11.1408,10.65224,12.78348,11.19635,9.98332,13.26266,11.44588,10.9192,10.37768,10.75006,11.50742,11.32645,11.26719,10.66399,10.64017,7.791457,7.385243,5.527619,9.90153,9.082466,10.86708,9.478393,14.42011,13.8569,11.55669,9.408241,10.23883,10.32072,10.26949,10.8989,10.17318,9.510083,7.80124,7.508042,10.18005,8.850731,7.831986,9.331832,9.04165,8.458185,02/01/2012 19:00:00
