,BE_VRE-ONS_RG1_20-30,BE_VRE-ONS_RG2_20-30,BE_VRE-ONS_RG3_20-30,DE4-N_VRE-ONS_RG1_20-30,DE4-N_VRE-ONS_RG2_20-30,DE4-N_VRE-ONS_RG3_20-30,DE4-E_VRE-ONS_RG1_20-30,DE4-E_VRE-ONS_RG2_20-30,DE4-E_VRE-ONS_RG3_20-30,DE4-S_VRE-ONS_RG1_20-30,DE4-S_VRE-ONS_RG2_20-30,DE4-S_VRE-ONS_RG3_20-30,DE4-W_VRE-ONS_RG1_20-30,DE4-W_VRE-ONS_RG2_20-30,DE4-W_VRE-ONS_RG3_20-30,DK1_VRE-ONS_RG1_20-30,DK1_VRE-ONS_RG2_20-30,DK1_VRE-ONS_RG3_20-30,DK2_VRE-ONS_RG1_20-30,DK2_VRE-ONS_RG2_20-30,DK2_VRE-ONS_RG3_20-30,EE_VRE-ONS_RG1_20-30,EE_VRE-ONS_RG2_20-30,EE_VRE-ONS_RG3_20-30,FIN_VRE-ONS_RG1_20-30,FIN_VRE-ONS_RG2_20-30,FIN_VRE-ONS_RG3_20-30,FR_VRE-ONS_RG1_20-30,FR_VRE-ONS_RG2_20-30,FR_VRE-ONS_RG3_20-30,UK_VRE-ONS_RG1_20-30,UK_VRE-ONS_RG2_20-30,UK_VRE-ONS_RG3_20-30,LT_VRE-ONS_RG1_20-30,LT_VRE-ONS_RG2_20-30,LT_VRE-ONS_RG3_20-30,LV_VRE-ONS_RG1_20-30,LV_VRE-ONS_RG2_20-30,LV_VRE-ONS_RG3_20-30,NL_VRE-ONS_RG1_20-30,NL_VRE-ONS_RG2_20-30,NL_VRE-ONS_RG3_20-30,NO1_VRE-ONS_RG1_20-30,NO1_VRE-ONS_RG2_20-30,NO1_VRE-ONS_RG3_20-30,NO2_VRE-ONS_RG1_20-30,NO2_VRE-ONS_RG2_20-30,NO2_VRE-ONS_RG3_20-30,NO3_VRE-ONS_RG1_20-30,NO3_VRE-ONS_RG2_20-30,NO3_VRE-ONS_RG3_20-30,NO4_VRE-ONS_RG1_20-30,NO4_VRE-ONS_RG2_20-30,NO4_VRE-ONS_RG3_20-30,NO5_VRE-ONS_RG1_20-30,NO5_VRE-ONS_RG2_20-30,NO5_VRE-ONS_RG3_20-30,PL_VRE-ONS_RG1_20-30,PL_VRE-ONS_RG2_20-30,PL_VRE-ONS_RG3_20-30,SE1_VRE-ONS_RG1_20-30,SE1_VRE-ONS_RG2_20-30,SE1_VRE-ONS_RG3_20-30,SE2_VRE-ONS_RG1_20-30,SE2_VRE-ONS_RG2_20-30,SE2_VRE-ONS_RG3_20-30,SE3_VRE-ONS_RG1_20-30,SE3_VRE-ONS_RG2_20-30,SE3_VRE-ONS_RG3_20-30,SE4_VRE-ONS_RG1_20-30,SE4_VRE-ONS_RG2_20-30,SE4_VRE-ONS_RG3_20-30,Time
263002,7.559831,7.580961,7.376615,9.342269,8.625554,8.203192,8.618144,8.113008,9.013966,9.495652,10.01705,8.996419,8.510441,7.836119,6.720795,10.31638,8.8773,8.36482,8.56469,9.117213,8.249098,10.0755,9.756339,8.954442,10.40016,9.775187,9.081944,11.0299,9.427808,9.095849,13.30068,11.94437,10.1455,10.04292,9.909262,9.447691,9.31871,9.347076,9.16091,8.573913,7.47346,6.787651,6.828388,5.920196,5.002915,9.843118,8.444078,6.839124,13.71511,11.37638,8.991919,19.44436,16.05702,12.18114,12.53031,9.933649,7.952572,11.7768,10.67092,9.878149,15.8454,11.15634,9.642928,9.438995,6.675211,6.180109,6.643978,5.470028,5.368004,4.423934,4.740796,4.465234,02/01/2012 10:00:00
263003,7.310635,7.709105,7.510356,9.39325,8.554293,8.109945,8.822467,8.06215,8.087436,9.088114,9.812258,8.955777,8.277685,7.764818,6.663974,10.54764,9.135936,8.646169,8.872722,9.728507,8.669983,9.973715,9.664762,8.834706,10.51332,9.740806,9.145042,11.09904,9.569821,9.109319,13.76803,12.29237,10.30088,10.27029,10.19541,9.693985,9.706328,9.60778,9.237194,8.623348,7.308735,6.87542,6.884427,5.932638,5.148374,10.30919,8.671415,7.028657,13.40512,11.3461,9.002584,19.45481,16.10747,12.11408,12.50484,9.787452,7.854816,11.43215,10.5032,9.809626,15.51338,10.99538,9.516425,9.449616,6.602031,6.056752,6.804431,5.450325,5.235734,6.148657,5.094605,4.357642,02/01/2012 11:00:00
263004,7.423781,7.785051,7.723753,9.307403,8.647886,7.94365,9.013049,8.087618,7.45041,8.918658,9.592877,8.948171,8.047399,7.647284,6.670386,10.99708,9.465639,9.082883,9.384752,9.959666,9.089875,10.07459,9.601054,8.778822,10.57977,9.704797,9.193718,11.23938,9.792696,9.153687,14.25859,12.85642,10.64266,10.28695,10.42855,9.867688,9.953743,9.90426,9.402399,9.079135,7.534106,7.317079,7.088153,5.868535,5.158667,10.60892,8.807528,7.150882,12.99096,11.10329,8.878732,19.5457,16.16443,12.07072,12.3344,9.715359,7.738919,10.91809,10.30234,9.753053,15.12558,10.68855,9.353592,9.277624,6.449831,6.033935,6.966682,5.613381,5.263055,7.81262,5.700757,4.657806,02/01/2012 12:00:00
263005,7.604241,7.811173,7.840828,9.123699,8.679699,7.596423,8.765451,7.823379,6.972703,9.018436,9.362306,8.821607,7.860204,7.436692,6.589115,11.36681,9.847013,9.468383,9.929448,9.540838,8.725254,10.30324,9.655298,8.849099,10.56416,9.684438,9.20499,11.36408,9.890237,9.172308,14.68888,13.44588,10.99992,10.10668,10.53492,10.01404,10.06534,10.19254,9.760098,9.558863,7.81178,7.942571,7.229167,5.857762,5.140636,10.72292,8.811034,7.155427,12.61248,10.8005,8.69195,19.57765,16.20094,12.01652,12.08943,9.653934,7.515952,10.43307,10.11463,9.656213,14.71803,10.33528,9.215942,9.1264,6.393514,6.169448,7.173152,5.92732,5.45073,8.65645,6.476657,5.422197,02/01/2012 13:00:00
263006,7.881241,8.020752,8.002493,9.001491,8.496336,7.167918,8.299149,7.398911,6.678559,9.000397,9.069218,8.628708,7.801629,7.278761,6.586785,11.43784,10.00832,9.56195,10.39214,8.907552,7.839702,10.49971,9.808524,9.059034,10.59477,9.685328,9.209127,11.27607,9.849847,9.155832,14.9559,13.85174,11.27214,9.877098,10.47815,10.11283,10.09424,10.4497,10.19272,9.720939,7.937547,8.422166,7.23754,6.006392,5.114162,10.83021,8.816824,7.078146,12.37449,10.4987,8.577319,19.48576,16.19764,11.98153,11.81453,9.612862,7.274763,10.06814,9.905842,9.430413,14.43093,10.06557,9.125364,9.127208,6.542514,6.30081,7.577749,6.305066,5.707529,8.809424,7.15447,6.29809,02/01/2012 14:00:00
263007,8.36686,8.524465,8.321029,9.002094,8.377294,7.053864,7.889741,7.105891,6.622313,8.71087,8.742225,8.597581,7.960332,7.318275,6.775822,11.31393,9.915979,9.368147,10.62727,8.801434,7.365129,10.61448,10.07987,9.442574,10.72979,9.717429,9.235191,11.07766,9.713389,9.075514,15.04878,14.02041,11.47747,9.801406,10.24876,10.06113,10.10503,10.59432,10.48945,9.619957,7.968942,8.728995,7.149013,6.190224,5.027979,11.04263,8.862975,7.063116,12.01922,10.21732,8.555729,19.40777,16.19008,11.99242,11.54485,9.596336,7.187319,9.757794,9.667356,9.177011,14.27791,9.925932,9.107104,9.160599,6.724791,6.30635,8.005489,6.590728,5.916166,8.469075,7.465165,6.875837,02/01/2012 15:00:00
263008,9.043756,9.043012,8.693209,9.221337,8.563319,7.611048,7.776746,7.153497,6.880151,8.468182,8.715084,8.749922,8.310167,7.654092,7.195323,11.20809,9.800731,9.178951,10.52933,8.994809,7.619875,10.67022,10.50464,9.902728,10.98056,9.785806,9.301125,11.00607,9.533751,9.010647,14.97453,14.04203,11.66629,9.971982,10.03857,9.839717,10.06916,10.5999,10.60565,9.595966,8.270315,8.96935,6.936749,6.2984,4.984985,11.33431,8.967698,7.188009,11.65715,9.984452,8.53788,19.51116,16.20438,12.10001,11.47412,9.691539,7.277249,9.542743,9.411278,9.029067,14.19486,9.926312,9.117833,9.218757,6.809358,6.283146,8.336058,6.762379,6.011375,8.127454,7.576461,7.105118,02/01/2012 16:00:00
263009,9.704885,9.420084,8.971156,9.628366,8.91573,8.435955,7.692184,7.43456,7.278234,8.545221,8.937597,8.880816,8.726257,8.113613,7.631076,11.17846,9.763304,9.114586,10.28543,9.078535,8.147884,10.59223,10.86224,10.31879,11.24868,9.831326,9.344704,11.17593,9.473056,8.940271,14.70552,13.95449,11.77401,10.12975,9.902014,9.518459,9.941135,10.48707,10.51758,9.884581,8.787189,9.143612,6.792788,6.314263,4.949496,11.46917,9.130714,7.314538,11.49475,9.763894,8.404734,19.8157,16.32381,12.2839,11.61412,9.839392,7.499087,9.414778,9.154186,8.981076,14.14961,9.923927,9.086688,9.251344,6.808336,6.282173,8.490594,6.975481,6.054026,8.200712,7.658887,7.251543,02/01/2012 17:00:00
263010,9.948499,9.651683,9.062278,10.09438,9.283865,9.030689,7.553211,7.79747,7.61843,9.02074,9.129264,8.848889,9.061184,8.472667,7.972937,11.26258,9.890824,9.178194,10.19844,9.218678,8.555552,10.33581,11.07253,10.61793,11.4264,9.861472,9.382312,11.51037,9.599782,8.811182,14.39024,13.74545,11.79909,10.08622,9.706427,9.20717,9.767175,10.31972,10.32401,10.3094,9.237053,9.234382,6.862098,6.273193,4.840443,11.40705,9.283612,7.449358,11.57082,9.679262,8.22438,20.08659,16.49225,12.42185,11.89975,10.07417,7.74249,9.261421,8.976871,8.926986,14.09861,9.822089,9.009071,9.029988,6.709183,6.295786,8.591468,7.238323,6.213975,8.36061,7.781414,7.349446,02/01/2012 18:00:00
263011,9.729275,9.711578,9.146399,10.60959,9.70185,9.336322,7.783675,8.129354,7.890458,9.511062,9.206322,8.722034,9.33603,8.798081,8.253387,11.39073,10.11458,9.355827,10.33622,9.455073,8.796639,9.866486,11.14702,10.63171,11.56864,9.92794,9.45796,11.84918,9.744498,8.647197,14.12432,13.40744,11.77297,9.863333,9.447009,8.964056,9.534114,10.13128,10.09671,10.62843,9.447772,9.196553,6.977856,6.18604,4.669199,11.1942,9.342196,7.56881,11.89011,9.617008,8.111674,20.16048,16.50641,12.49218,12.20589,10.43295,7.963075,8.958097,8.851543,8.7857,13.91293,9.727116,8.91074,8.721488,6.58202,6.326648,8.871075,7.526663,6.54765,8.500034,7.851854,7.254527,02/01/2012 19:00:00
