,BE_VRE-ONS_RG1_40-50,BE_VRE-ONS_RG2_40-50,BE_VRE-ONS_RG3_40-50,DE4-N_VRE-ONS_RG1_40-50,DE4-N_VRE-ONS_RG2_40-50,DE4-N_VRE-ONS_RG3_40-50,DE4-E_VRE-ONS_RG1_40-50,DE4-E_VRE-ONS_RG2_40-50,DE4-E_VRE-ONS_RG3_40-50,DE4-S_VRE-ONS_RG1_40-50,DE4-S_VRE-ONS_RG2_40-50,DE4-S_VRE-ONS_RG3_40-50,DE4-W_VRE-ONS_RG1_40-50,DE4-W_VRE-ONS_RG2_40-50,DE4-W_VRE-ONS_RG3_40-50,DK1_VRE-ONS_RG1_40-50,DK1_VRE-ONS_RG2_40-50,DK1_VRE-ONS_RG3_40-50,DK2_VRE-ONS_RG1_40-50,DK2_VRE-ONS_RG2_40-50,DK2_VRE-ONS_RG3_40-50,EE_VRE-ONS_RG1_40-50,EE_VRE-ONS_RG2_40-50,EE_VRE-ONS_RG3_40-50,FIN_VRE-ONS_RG1_40-50,FIN_VRE-ONS_RG2_40-50,FIN_VRE-ONS_RG3_40-50,FR_VRE-ONS_RG1_40-50,FR_VRE-ONS_RG2_40-50,FR_VRE-ONS_RG3_40-50,UK_VRE-ONS_RG1_40-50,UK_VRE-ONS_RG2_40-50,UK_VRE-ONS_RG3_40-50,LT_VRE-ONS_RG1_40-50,LT_VRE-ONS_RG2_40-50,LT_VRE-ONS_RG3_40-50,LV_VRE-ONS_RG1_40-50,LV_VRE-ONS_RG2_40-50,LV_VRE-ONS_RG3_40-50,NL_VRE-ONS_RG1_40-50,NL_VRE-ONS_RG2_40-50,NL_VRE-ONS_RG3_40-50,NO1_VRE-ONS_RG1_40-50,NO1_VRE-ONS_RG2_40-50,NO1_VRE-ONS_RG3_40-50,NO2_VRE-ONS_RG1_40-50,NO2_VRE-ONS_RG2_40-50,NO2_VRE-ONS_RG3_40-50,NO3_VRE-ONS_RG1_40-50,NO3_VRE-ONS_RG2_40-50,NO3_VRE-ONS_RG3_40-50,NO4_VRE-ONS_RG1_40-50,NO4_VRE-ONS_RG2_40-50,NO4_VRE-ONS_RG3_40-50,NO5_VRE-ONS_RG1_40-50,NO5_VRE-ONS_RG2_40-50,NO5_VRE-ONS_RG3_40-50,PL_VRE-ONS_RG1_40-50,PL_VRE-ONS_RG2_40-50,PL_VRE-ONS_RG3_40-50,SE1_VRE-ONS_RG1_40-50,SE1_VRE-ONS_RG2_40-50,SE1_VRE-ONS_RG3_40-50,SE2_VRE-ONS_RG1_40-50,SE2_VRE-ONS_RG2_40-50,SE2_VRE-ONS_RG3_40-50,SE3_VRE-ONS_RG1_40-50,SE3_VRE-ONS_RG2_40-50,SE3_VRE-ONS_RG3_40-50,SE4_VRE-ONS_RG1_40-50,SE4_VRE-ONS_RG2_40-50,SE4_VRE-ONS_RG3_40-50,Time
262992,12.47209,13.59686,14.08214,8.141587,7.267715,6.453285,9.867655,11.24735,11.42655,13.07089,12.0881,10.18968,11.59481,10.08242,13.2957,8.924134,8.017513,7.454575,8.359273,7.648556,7.333342,11.05097,8.563412,8.332741,9.920633,8.403893,7.790774,9.234204,12.34843,10.94217,12.59656,11.65615,10.30017,9.765665,9.370615,8.601929,9.42651,8.661658,7.971636,9.631728,8.695284,9.316087,6.692168,6.052146,4.87817,9.443997,8.029766,6.004238,12.37232,10.5944,8.650585,22.13367,17.63783,13.05403,12.87426,10.70557,8.257018,10.10686,9.268383,8.914891,16.92726,11.92122,9.387772,10.67268,7.298956,7.523781,8.611206,7.399634,6.638447,8.70065,7.477783,6.729869,02/01/2012 00:00:00
262993,11.76979,12.72894,13.49219,7.564421,6.490913,5.333193,10.03656,11.91551,11.80383,13.07376,11.98171,10.10542,11.11869,10.6802,13.63628,9.054594,8.091881,7.554665,7.394885,6.376298,6.501908,11.17423,9.149047,8.995416,10.10693,8.834724,8.175284,9.181029,11.81916,11.00823,12.71979,11.72837,10.2966,9.435247,9.290101,8.57683,9.250563,8.837496,8.508679,10.03942,9.162878,9.535394,6.548388,5.840854,4.655959,9.404593,8.005106,5.804427,12.28618,10.01421,8.148128,21.66177,17.32509,12.92346,13.24005,10.82085,8.514214,10.33144,9.273891,8.93125,16.90336,12.13826,9.501587,10.70892,7.543558,7.798975,8.798146,7.628426,7.188991,8.047538,7.640424,7.109202,02/01/2012 01:00:00
262994,11.23806,11.33978,12.22552,7.533942,5.874735,4.551219,10.09567,12.50299,12.33407,13.14793,12.05089,10.1188,11.38491,10.36149,13.57247,8.839047,7.962825,7.396103,6.839766,5.25385,6.080006,11.10234,9.364935,9.382469,10.25934,9.128992,8.397207,9.325923,11.30961,10.94117,12.78813,11.78424,10.41879,9.196191,9.257185,8.711646,9.132171,8.893799,8.829967,10.21194,9.527349,9.75668,6.411935,5.6938,4.510731,9.977969,8.313353,5.354229,12.28403,9.828906,8.208416,21.44884,17.19834,12.89063,13.63745,10.80326,8.597199,10.65812,9.513176,9.106579,16.83306,12.19244,9.626556,10.31468,7.512659,7.676977,8.289304,7.318297,7.018347,7.559353,7.390131,6.891632,02/01/2012 02:00:00
262995,10.41141,9.981604,10.63872,8.145039,5.925529,4.820573,10.04026,12.9474,12.73474,12.96068,12.04218,10.10076,11.57124,10.03549,13.07435,8.716338,7.910505,7.418588,6.491022,4.411358,5.631061,11.03174,9.621037,9.644882,10.37144,9.43942,8.627532,9.651406,10.89167,10.79462,12.88402,11.82247,10.49601,9.002641,9.186965,8.77304,9.174678,9.061117,9.090835,10.32442,9.465677,9.511431,6.715778,5.693589,4.316619,10.50316,8.593853,5.069311,12.47049,9.789098,8.431748,21.29119,17.09221,12.87154,13.96208,10.77545,8.727436,11.0854,9.849315,9.358592,16.78524,12.17538,9.711753,9.901937,7.576476,7.47255,7.829058,6.970031,6.81887,6.812842,6.897899,6.503327,02/01/2012 03:00:00
262996,9.473991,9.221703,9.489161,8.962586,6.662795,6.225067,10.08273,13.13586,12.96103,12.54344,11.93998,10.12285,11.30144,9.766523,12.05125,8.691177,7.980409,7.571013,6.326231,4.396321,5.45641,10.90509,9.819797,9.759236,10.4433,9.731207,8.896107,10.07897,10.60892,10.6426,12.92836,11.80745,10.46609,8.738739,9.044241,8.708399,9.187507,9.134662,9.200046,10.27035,9.277186,9.171414,6.998433,5.595079,4.063789,10.86329,8.6973,5.290462,12.8881,10.11733,8.778713,21.10687,16.98531,12.81903,14.10553,10.68533,8.858889,11.57684,10.23094,9.645413,16.75555,12.11904,9.775557,9.751726,7.623582,7.28684,7.443012,6.66263,6.634067,5.768179,6.45214,6.098944,02/01/2012 04:00:00
262997,8.951894,8.901238,8.808237,9.794575,7.607909,7.44322,10.22455,13.01875,12.98461,12.07523,11.81232,10.15932,10.63947,9.493668,10.76698,8.862433,8.253908,7.76228,5.836571,4.694957,5.490814,10.75437,9.962019,9.787805,10.46451,9.972443,9.1537,10.42096,10.38029,10.47842,12.90862,11.80385,10.40682,8.643487,8.898346,8.536843,9.147182,9.08747,9.205485,10.17764,9.11435,9.05507,6.876902,5.385557,3.71265,10.89575,8.683971,5.833891,13.51967,10.74528,9.062603,20.88636,16.92585,12.73308,13.96335,10.50059,8.870707,12.06488,10.62143,9.911711,16.80777,12.06339,9.845137,9.806242,7.589506,7.138132,7.129467,6.485166,6.450004,4.515556,5.914739,5.931783,02/01/2012 05:00:00
262998,8.858261,8.674767,8.262383,10.30457,8.424211,8.185693,10.15358,12.51104,12.84621,11.68082,11.71425,10.14852,9.937907,9.134014,9.667121,9.066941,8.56748,7.988891,5.969681,4.454859,5.195951,10.6377,10.06479,9.747039,10.5583,10.13515,9.320121,10.67821,10.19241,10.29478,12.88034,11.85891,10.41035,8.843115,8.83896,8.453836,9.170005,9.087585,9.231221,9.986317,8.965917,8.726954,6.736975,5.38185,3.466141,10.60102,8.656114,6.318793,14.19081,11.3143,9.24121,20.74129,16.91536,12.69684,13.5361,10.50947,8.847986,12.52431,11.01693,10.17539,16.95491,12.04548,9.9374,10.0132,7.498769,7.035114,7.000176,6.465533,6.339949,3.853519,5.109199,5.766432,02/01/2012 06:00:00
262999,8.793552,8.532193,7.901164,10.28597,8.708864,8.565333,9.807004,11.52636,12.54826,11.36478,11.587,10.08842,9.425387,8.901772,8.712448,9.143128,8.720408,8.255807,6.923719,5.16345,5.812127,10.52219,10.12163,9.655034,10.72394,10.24183,9.42576,10.84815,10.10258,10.13336,12.95404,11.97415,10.46604,9.178003,8.990285,8.657178,9.253083,9.205947,9.305766,9.650779,8.774012,8.172019,6.852494,5.619184,3.720897,10.32076,8.662602,6.706115,14.69176,11.66729,9.347271,20.65444,16.91607,12.75221,13.29565,10.72366,8.75076,12.80524,11.35347,10.4252,17.04611,12.03916,10.0566,10.18353,7.408403,6.971949,7.015066,6.469255,6.269924,3.719201,4.574834,5.419125,02/01/2012 07:00:00
263000,8.682863,8.438884,7.853589,10.04263,8.827054,8.831809,9.467677,10.28135,11.91972,11.10945,11.36906,9.992929,9.274934,8.75905,7.995787,9.649924,8.78737,8.437477,7.715924,7.084042,7.576017,10.5163,10.18866,9.564529,10.85586,10.32998,9.526142,11.12371,10.12568,10.04204,13.1562,12.14974,10.60625,9.678425,9.479407,9.132325,9.390174,9.414791,9.398932,9.415657,8.65022,7.691882,7.111751,5.960742,4.397188,10.12138,8.662863,7.001582,14.87405,11.85349,9.419436,20.51524,16.87681,12.81777,13.308,10.78758,8.57305,12.87764,11.5183,10.57321,16.94217,11.97517,10.17806,10.14892,7.329287,6.928096,7.09095,6.386195,6.160962,3.762724,4.590491,5.149799,02/01/2012 08:00:00
263001,8.595781,8.275092,7.927269,9.829972,9.096184,8.92226,9.296075,9.218815,10.80661,10.65989,11.05467,9.844598,9.233028,8.526694,7.555756,10.45523,9.050641,8.614827,8.51208,8.836211,8.758485,10.59713,10.26313,9.49975,10.94921,10.39886,9.619549,11.42874,10.06811,9.852367,13.49226,12.37457,10.81601,10.28261,10.04703,9.605017,9.591493,9.65641,9.53267,9.320709,8.539495,7.357548,7.337619,6.3364,5.102494,9.952167,8.74341,7.250808,14.81369,12.00766,9.580447,20.34078,16.80375,12.85554,13.17545,10.68543,8.589352,12.75705,11.48321,10.57558,16.77702,11.84569,10.25482,10.09431,7.293059,6.88394,7.195776,6.245132,6.093418,3.918563,4.83231,5.021623,02/01/2012 09:00:00
