"RRR","AAA"
"FIN","FIN_IND-HT-NODH"
"FIN","FIN_IND-HT-DH"
"FIN","FIN_IND-LT-NODH"
"FIN","FIN_IND-LT-DH"
"FIN","FIN_IND-MT-NODH"
"FIN","FIN_IND-MT-DH"
"FIN","FIN_IDVU-HOTWTR"
"FIN","FIN_IDVU-SPACEHEAT"
"DE4-E","DE4-E_A"
"DE4-E","DE4-E_Offshore"
"DE4-E","DE4-NE_VRE-OFF1_RG2_20-30"
"DE4-E","DE4-NE_VRE-OFF1_RG3_20-30"
"DE4-E","DE4-NE_VRE-OFF1_RG2_30-40"
"DE4-E","DE4-NE_VRE-OFF1_RG3_30-40"
"DE4-E","DE4-NE_VRE-OFF1_RG2_40-50"
"DE4-E","DE4-NE_VRE-OFF1_RG3_40-50"
"DE4-E","DE4-NE_VRE-OFF1_RG2_50"
"DE4-E","DE4-NE_VRE-OFF1_RG3_50"
"DE4-E","DE4-E_VRE-ONS_RG1_20-30"
"DE4-E","DE4-E_VRE-ONS_RG2_20-30"
"DE4-E","DE4-E_VRE-ONS_RG3_20-30"
"DE4-E","DE4-E_VRE-ONS_RG1_30-40"
"DE4-E","DE4-E_VRE-ONS_RG2_30-40"
"DE4-E","DE4-E_VRE-ONS_RG3_30-40"
"DE4-E","DE4-E_VRE-ONS_RG1_40-50"
"DE4-E","DE4-E_VRE-ONS_RG2_40-50"
"DE4-E","DE4-E_VRE-ONS_RG3_40-50"
"DE4-E","DE4-E_VRE-ONS_RG1_50"
"DE4-E","DE4-E_VRE-ONS_RG2_50"
"DE4-E","DE4-E_VRE-ONS_RG3_50"
"DE4-E","DE4-E_VRE-ONS-LW_RG1_20-30"
"DE4-E","DE4-E_VRE-ONS-LW_RG2_20-30"
"DE4-E","DE4-E_VRE-ONS-LW_RG3_20-30"
"DE4-E","DE4-E_VRE-ONS-LW_RG1_30-40"
"DE4-E","DE4-E_VRE-ONS-LW_RG2_30-40"
"DE4-E","DE4-E_VRE-ONS-LW_RG3_30-40"
"DE4-E","DE4-E_VRE-ONS-LW_RG1_40-50"
"DE4-E","DE4-E_VRE-ONS-LW_RG2_40-50"
"DE4-E","DE4-E_VRE-ONS-LW_RG3_40-50"
"DE4-E","DE4-E_VRE-ONS-LW_RG1_50"
"DE4-E","DE4-E_VRE-ONS-LW_RG2_50"
"DE4-E","DE4-E_VRE-ONS-LW_RG3_50"
"DE4-E","DE4-E_IND-HT-NODH"
"DE4-E","DE4-E_IND-HT-DH"
